submission_year,main_categories,count,total,proportion
1991,hep-th,1,1,1.0
1992,cond-mat,2,12,0.16666666666666666
1992,funct-an,1,12,0.08333333333333333
1992,hep-lat,1,12,0.08333333333333333
1992,hep-ph,2,12,0.16666666666666666
1992,hep-th,4,12,0.3333333333333333
1992,math,2,12,0.16666666666666666
1993,astro-ph,1,32,0.03125
1993,chao-dyn,1,32,0.03125
1993,cond-mat,6,32,0.1875
1993,hep-lat,3,32,0.09375
1993,hep-ph,13,32,0.40625
1993,hep-th,4,32,0.125
1993,math,2,32,0.0625
1993,nlin,1,32,0.03125
1993,nucl-th,1,32,0.03125
1994,astro-ph,7,44,0.1590909090909091
1994,chao-dyn,1,44,0.022727272727272728
1994,comp-gas,1,44,0.022727272727272728
1994,cond-mat,3,44,0.06818181818181818
1994,gr-qc,4,44,0.09090909090909091
1994,hep-lat,1,44,0.022727272727272728
1994,hep-ph,9,44,0.20454545454545456
1994,hep-th,10,44,0.22727272727272727
1994,math,1,44,0.022727272727272728
1994,mtrl-th,1,44,0.022727272727272728
1994,nlin,3,44,0.06818181818181818
1994,nucl-th,2,44,0.045454545454545456
1994,patt-sol,1,44,0.022727272727272728
1995,alg-geom,1,48,0.020833333333333332
1995,astro-ph,3,48,0.0625
1995,chao-dyn,1,48,0.020833333333333332
1995,cond-mat,4,48,0.08333333333333333
1995,gr-qc,7,48,0.14583333333333334
1995,hep-ex,1,48,0.020833333333333332
1995,hep-lat,2,48,0.041666666666666664
1995,hep-ph,10,48,0.20833333333333334
1995,hep-th,13,48,0.2708333333333333
1995,math,2,48,0.041666666666666664
1995,nlin,1,48,0.020833333333333332
1995,nucl-th,3,48,0.0625
1996,alg-geom,2,70,0.02857142857142857
1996,astro-ph,5,70,0.07142857142857142
1996,chao-dyn,1,70,0.014285714285714285
1996,chem-ph,1,70,0.014285714285714285
1996,cmp-lg,2,70,0.02857142857142857
1996,cond-mat,11,70,0.15714285714285714
1996,cs,2,70,0.02857142857142857
1996,gr-qc,4,70,0.05714285714285714
1996,hep-lat,3,70,0.04285714285714286
1996,hep-ph,12,70,0.17142857142857143
1996,hep-th,13,70,0.18571428571428572
1996,math,3,70,0.04285714285714286
1996,mtrl-th,1,70,0.014285714285714285
1996,nlin,2,70,0.02857142857142857
1996,nucl-th,2,70,0.02857142857142857
1996,physics,3,70,0.04285714285714286
1996,q-alg,1,70,0.014285714285714285
1996,quant-ph,1,70,0.014285714285714285
1996,solv-int,1,70,0.014285714285714285
1997,astro-ph,11,78,0.14102564102564102
1997,chao-dyn,3,78,0.038461538461538464
1997,cmp-lg,1,78,0.01282051282051282
1997,cond-mat,6,78,0.07692307692307693
1997,cs,1,78,0.01282051282051282
1997,dg-ga,2,78,0.02564102564102564
1997,gr-qc,3,78,0.038461538461538464
1997,hep-ex,2,78,0.02564102564102564
1997,hep-lat,5,78,0.0641025641025641
1997,hep-ph,13,78,0.16666666666666666
1997,hep-th,9,78,0.11538461538461539
1997,math,6,78,0.07692307692307693
1997,nlin,3,78,0.038461538461538464
1997,nucl-th,4,78,0.05128205128205128
1997,physics,1,78,0.01282051282051282
1997,q-alg,3,78,0.038461538461538464
1997,quant-ph,5,78,0.0641025641025641
1998,astro-ph,19,125,0.152
1998,chao-dyn,2,125,0.016
1998,cond-mat,16,125,0.128
1998,cs,2,125,0.016
1998,gr-qc,4,125,0.032
1998,hep-ex,1,125,0.008
1998,hep-lat,5,125,0.04
1998,hep-ph,23,125,0.184
1998,hep-th,21,125,0.168
1998,math,7,125,0.056
1998,math-ph,1,125,0.008
1998,nlin,7,125,0.056
1998,nucl-th,2,125,0.016
1998,patt-sol,2,125,0.016
1998,physics,3,125,0.024
1998,quant-ph,7,125,0.056
1998,solv-int,3,125,0.024
1999,astro-ph,21,146,0.14383561643835616
1999,chao-dyn,2,146,0.0136986301369863
1999,cond-mat,24,146,0.1643835616438356
1999,cs,2,146,0.0136986301369863
1999,gr-qc,8,146,0.0547945205479452
1999,hep-ex,2,146,0.0136986301369863
1999,hep-lat,1,146,0.00684931506849315
1999,hep-ph,24,146,0.1643835616438356
1999,hep-th,13,146,0.08904109589041095
1999,math,19,146,0.13013698630136986
1999,math-ph,3,146,0.02054794520547945
1999,nlin,5,146,0.03424657534246575
1999,nucl-ex,1,146,0.00684931506849315
1999,nucl-th,2,146,0.0136986301369863
1999,patt-sol,2,146,0.0136986301369863
1999,physics,4,146,0.0273972602739726
1999,q-bio,1,146,0.00684931506849315
1999,quant-ph,11,146,0.07534246575342465
1999,solv-int,1,146,0.00684931506849315
2000,astro-ph,25,191,0.13089005235602094
2000,cond-mat,38,191,0.19895287958115182
2000,cs,2,191,0.010471204188481676
2000,gr-qc,6,191,0.031413612565445025
2000,hep-ex,1,191,0.005235602094240838
2000,hep-lat,4,191,0.020942408376963352
2000,hep-ph,20,191,0.10471204188481675
2000,hep-th,19,191,0.09947643979057591
2000,math,35,191,0.18324607329842932
2000,math-ph,9,191,0.04712041884816754
2000,nlin,10,191,0.05235602094240838
2000,nucl-ex,2,191,0.010471204188481676
2000,nucl-th,10,191,0.05235602094240838
2000,physics,5,191,0.02617801047120419
2000,quant-ph,5,191,0.02617801047120419
2001,astro-ph,30,192,0.15625
2001,cond-mat,18,192,0.09375
2001,cs,5,192,0.026041666666666668
2001,gr-qc,14,192,0.07291666666666667
2001,hep-ex,7,192,0.036458333333333336
2001,hep-lat,4,192,0.020833333333333332
2001,hep-ph,21,192,0.109375
2001,hep-th,26,192,0.13541666666666666
2001,math,34,192,0.17708333333333334
2001,math-ph,7,192,0.036458333333333336
2001,nlin,4,192,0.020833333333333332
2001,nucl-th,5,192,0.026041666666666668
2001,physics,7,192,0.036458333333333336
2001,quant-ph,10,192,0.052083333333333336
2002,astro-ph,26,190,0.1368421052631579
2002,cond-mat,40,190,0.21052631578947367
2002,cs,3,190,0.015789473684210527
2002,gr-qc,12,190,0.06315789473684211
2002,hep-ex,3,190,0.015789473684210527
2002,hep-lat,3,190,0.015789473684210527
2002,hep-ph,17,190,0.08947368421052632
2002,hep-th,16,190,0.08421052631578947
2002,math,37,190,0.19473684210526315
2002,math-ph,6,190,0.031578947368421054
2002,nlin,5,190,0.02631578947368421
2002,nucl-ex,3,190,0.015789473684210527
2002,nucl-th,4,190,0.021052631578947368
2002,physics,3,190,0.015789473684210527
2002,q-bio,1,190,0.005263157894736842
2002,quant-ph,11,190,0.05789473684210526
2003,astro-ph,31,226,0.13716814159292035
2003,cond-mat,47,226,0.2079646017699115
2003,cs,2,226,0.008849557522123894
2003,gr-qc,11,226,0.048672566371681415
2003,hep-ex,6,226,0.02654867256637168
2003,hep-lat,3,226,0.01327433628318584
2003,hep-ph,21,226,0.09292035398230089
2003,hep-th,19,226,0.084070796460177
2003,math,46,226,0.20353982300884957
2003,math-ph,7,226,0.030973451327433628
2003,nlin,5,226,0.022123893805309734
2003,nucl-ex,4,226,0.017699115044247787
2003,nucl-th,7,226,0.030973451327433628
2003,physics,6,226,0.02654867256637168
2003,q-bio,1,226,0.004424778761061947
2003,quant-ph,10,226,0.04424778761061947
2004,astro-ph,35,263,0.13307984790874525
2004,cond-mat,52,263,0.19771863117870722
2004,cs,9,263,0.034220532319391636
2004,gr-qc,10,263,0.03802281368821293
2004,hep-ex,4,263,0.015209125475285171
2004,hep-lat,3,263,0.011406844106463879
2004,hep-ph,23,263,0.08745247148288973
2004,hep-th,18,263,0.06844106463878327
2004,math,54,263,0.20532319391634982
2004,math-ph,6,263,0.022813688212927757
2004,nlin,5,263,0.019011406844106463
2004,nucl-ex,7,263,0.026615969581749048
2004,nucl-th,7,263,0.026615969581749048
2004,physics,18,263,0.06844106463878327
2004,q-bio,2,263,0.0076045627376425855
2004,quant-ph,10,263,0.03802281368821293
2005,astro-ph,39,240,0.1625
2005,cond-mat,45,240,0.1875
2005,cs,15,240,0.0625
2005,gr-qc,9,240,0.0375
2005,hep-ex,5,240,0.020833333333333332
2005,hep-lat,3,240,0.0125
2005,hep-ph,16,240,0.06666666666666667
2005,hep-th,12,240,0.05
2005,math,43,240,0.17916666666666667
2005,math-ph,8,240,0.03333333333333333
2005,nlin,2,240,0.008333333333333333
2005,nucl-ex,4,240,0.016666666666666666
2005,nucl-th,6,240,0.025
2005,physics,21,240,0.0875
2005,q-bio,2,240,0.008333333333333333
2005,q-fin,1,240,0.004166666666666667
2005,quant-ph,9,240,0.0375
2006,astro-ph,31,260,0.11923076923076924
2006,cond-mat,52,260,0.2
2006,cs,9,260,0.03461538461538462
2006,gr-qc,11,260,0.04230769230769231
2006,hep-ex,4,260,0.015384615384615385
2006,hep-lat,1,260,0.0038461538461538464
2006,hep-ph,15,260,0.057692307692307696
2006,hep-th,20,260,0.07692307692307693
2006,math,49,260,0.18846153846153846
2006,math-ph,6,260,0.023076923076923078
2006,nlin,7,260,0.026923076923076925
2006,nucl-ex,2,260,0.007692307692307693
2006,nucl-th,11,260,0.04230769230769231
2006,physics,21,260,0.08076923076923077
2006,q-bio,8,260,0.03076923076923077
2006,quant-ph,12,260,0.046153846153846156
2006,stat,1,260,0.0038461538461538464
2007,astro-ph,36,260,0.13846153846153847
2007,cond-mat,45,260,0.17307692307692307
2007,cs,8,260,0.03076923076923077
2007,gr-qc,10,260,0.038461538461538464
2007,hep-ex,6,260,0.023076923076923078
2007,hep-lat,2,260,0.007692307692307693
2007,hep-ph,18,260,0.06923076923076923
2007,hep-th,12,260,0.046153846153846156
2007,math,58,260,0.2230769230769231
2007,math-ph,8,260,0.03076923076923077
2007,nlin,6,260,0.023076923076923078
2007,nucl-ex,1,260,0.0038461538461538464
2007,nucl-th,5,260,0.019230769230769232
2007,physics,23,260,0.08846153846153847
2007,q-bio,3,260,0.011538461538461539
2007,q-fin,1,260,0.0038461538461538464
2007,quant-ph,16,260,0.06153846153846154
2007,stat,2,260,0.007692307692307693
2008,astro-ph,29,256,0.11328125
2008,cond-mat,37,256,0.14453125
2008,cs,11,256,0.04296875
